Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
D_0,D,D_SOD123_axial,254.79375,-121.44375,bottom,90
D_1,D,D_SOD123_axial,83.34375,-121.44375,bottom,90
D_2,D,D_SOD123_axial,102.39375,-121.44375,bottom,90
D_3,D,D_SOD123_axial,121.44375,-121.44375,bottom,90
D_4,D,D_SOD123_axial,140.49375,-121.44375,bottom,90
D_5,D,D_SOD123_axial,159.54375,-121.44375,bottom,90
D_6,D,D_SOD123_axial,178.59375,-121.44375,bottom,90
D_7,D,D_SOD123_axial,197.64375,-121.44375,bottom,90
D_8,D,D_SOD123_axial,216.69375,-121.44375,bottom,90
D_9,D,D_SOD123_axial,235.74375,-121.44375,bottom,90
D_A1,D,D_SOD123_axial,97.63125,-159.54375,bottom,90
D_B1,D,D_SOD123_axial,183.35625,-178.59375,bottom,90
D_C1,D,D_SOD123_axial,145.25625,-178.59375,bottom,90
D_CAPLK1,D,D_SOD123_axial,71.4375,-159.54375,bottom,90
D_D1,D,D_SOD123_axial,135.73125,-159.54375,bottom,90
D_DEL1,D,D_SOD123_axial,330.99375,-121.44375,bottom,90
D_DN1,D,D_SOD123_axial,335.75625,-197.64375,bottom,90
D_E1,D,D_SOD123_axial,130.96875,-140.49375,bottom,90
D_END1,D,D_SOD123_axial,335.75625,-140.49375,bottom,90
D_ENTER1,D,D_SOD123_axial,319.0875,-159.54375,bottom,90
D_ESC1,D,D_SOD123_axial,64.29375,-121.44375,bottom,90
D_F1,D,D_SOD123_axial,154.78125,-159.54375,bottom,90
D_G1,D,D_SOD123_axial,173.83125,-159.54375,bottom,90
D_H1,D,D_SOD123_axial,192.88125,-159.54375,bottom,90
D_HOME1,D,D_SOD123_axial,335.75625,-121.44375,bottom,90
D_I1,D,D_SOD123_axial,226.21875,-140.49375,bottom,90
D_J1,D,D_SOD123_axial,211.93125,-159.54375,bottom,90
D_K1,D,D_SOD123_axial,230.98125,-159.54375,bottom,90
D_L1,D,D_SOD123_axial,250.03125,-159.54375,bottom,90
D_LALT1,D,D_SOD123_axial,102.39375,-197.64375,bottom,90
D_LCMD1,D,D_SOD123_axial,121.44375,-197.64375,bottom,90
D_LCTRL1,D,D_SOD123_axial,83.34375,-197.64375,bottom,90
D_LFN1,D,D_SOD123_axial,64.29375,-197.64375,bottom,90
D_LIFT1,D,D_SOD123_axial,292.89375,-197.64375,bottom,90
D_LSHIFT1,D,D_SOD123_axial,76.2,-178.59375,bottom,90
D_LT1,D,D_SOD123_axial,316.70625,-197.64375,bottom,90
D_M1,D,D_SOD123_axial,221.45625,-178.59375,bottom,90
D_N1,D,D_SOD123_axial,202.40625,-178.59375,bottom,90
D_O1,D,D_SOD123_axial,245.26875,-140.49375,bottom,90
D_P1,D,D_SOD123_axial,264.31875,-140.49375,bottom,90
D_PGDN1,D,D_SOD123_axial,354.80625,-140.49375,bottom,90
D_PGUP1,D,D_SOD123_axial,354.80625,-121.44375,bottom,90
D_Q1,D,D_SOD123_axial,92.86875,-140.49375,bottom,90
D_R1,D,D_SOD123_axial,150.01875,-140.49375,bottom,90
D_RALT1,D,D_SOD123_axial,273.84375,-197.64375,bottom,90
D_RCMD1,D,D_SOD123_axial,254.79375,-197.64375,bottom,90
D_RFN1,D,D_SOD123_axial,311.94375,-197.64375,bottom,90
D_RSHIFT1,D,D_SOD123_axial,314.325,-178.59375,bottom,90
D_RT1,D,D_SOD123_axial,354.80625,-197.64375,bottom,90
D_S1,D,D_SOD123_axial,116.68125,-159.54375,bottom,90
D_T1,D,D_SOD123_axial,169.06875,-140.49375,bottom,90
D_TAB1,D,D_SOD123_axial,69.05625,-140.49375,bottom,90
D_U1,D,D_SOD123_axial,207.16875,-140.49375,bottom,90
D_UP1,D,D_SOD123_axial,354.80625,-178.59375,bottom,90
D_V1,D,D_SOD123_axial,164.30625,-178.59375,bottom,90
D_W1,D,D_SOD123_axial,111.91875,-140.49375,bottom,90
D_X1,D,D_SOD123_axial,126.20625,-178.59375,bottom,90
D_Y1,D,D_SOD123_axial,188.11875,-140.49375,bottom,90
D_Z1,D,D_SOD123_axial,107.15625,-178.59375,bottom,90
D_backslash1,D,D_SOD123_axial,326.23125,-140.49375,bottom,90
D_comma1,D,D_SOD123_axial,240.50625,-178.59375,bottom,90
D_dot1,D,D_SOD123_axial,259.55625,-178.59375,bottom,90
D_leftsquare1,D,D_SOD123_axial,283.36875,-140.49375,bottom,90
D_minus1,D,D_SOD123_axial,273.84375,-121.44375,bottom,90
D_plus1,D,D_SOD123_axial,292.89375,-121.44375,bottom,90
D_quote1,D,D_SOD123_axial,288.13125,-159.54375,bottom,90
D_rightsquare1,D,D_SOD123_axial,302.41875,-140.49375,bottom,90
D_semicolon1,D,D_SOD123_axial,269.08125,-159.54375,bottom,90
D_slash1,D,D_SOD123_axial,278.60625,-178.59375,bottom,90
D_space1,D,D_SOD123_axial,188.11875,-197.64375,bottom,90
D_tilde1,D,D_SOD123_axial,311.94375,-121.44375,bottom,90